Vessel #,Vessel,,,,
0121,MT GB VENTURE,MT GB VENTURE_[0121],,,0121
0122,MT VAST OCEAN 5,MT VAST OCEAN 5_[0122],,,0122
0123,MV JACOB H,MV JACOB H_[0123],,,0123
0124,MV VAST OCEAN 5,MV VAST OCEAN 5_[0124],,,0124
0125,MT DEE 4 LARCH,MT DEE 4 LARCH_[0125],,,0125
0126,MV TRANSFORMER OL,MV TRANSFORMER OL_[0126],,,0126
0127,VIMC FREEDOM,VIMC FREEDOM_[0127],,,0127
0128,MV SPETSES SPIRIT,MV SPETSES SPIRIT_[0128],,,0128
0129,BW PANTHER,BW PANTHER_[0129],,,0129
0130,MV MARIWIT,MV MARIWIT_[0130],,,0130
0131,MT DING HENG 36,MT DING HENG 36_[0131],,,0131
0132,MV SKY HIGH SW,MV SKY HIGH SW_[0132],,,0132
0133,MV PATRIOT SW,MV PATRIOT SW_[0133],,,0133
0134,MT PEREGRINE PACIFIC,MT PEREGRINE PACIFIC_[0134],,,0134
0135,MV SWEET LYDIA,MV SWEET LYDIA_[0135],,,0135
0136,MV GLOBE EXPLORER,MV GLOBE EXPLORER_[0136],,,0136
0137,MT GLORIOUS SUNSHINE,MT GLORIOUS SUNSHINE_[0137],,,0137
0138,MT PINE EXPRESS,MT PINE EXPRESS_[0138],,,0138
0139,MV CALA PEVERO,MV CALA PEVERO_[0139],,,0139
0140,MT ULAYA,MT ULAYA_[0140],,,0140
0141,MV FORTUNE TIGER,MV FORTUNE TIGER_[0141],,,0141
0142,MV FIGEAC,MV FIGEAC_[0142],,,0142
0143,MV FEI PENG,MV FEI PENG_[0143],,,0143
0144,MT MENUETT,MT MENUETT_[0144],,,0144
0145,MV SAN ANTONIO,MV SAN ANTONIO_[0145],,,0145
0146,MTKR LAGAVULIN,MTKR LAGAVULIN_[0146],,,0146
0147,MV HAFNIA TURQUOISE,MV HAFNIA TURQUOISE_[0147],,,0147
0148,MT CAPELA,MT CAPELA_[0148],,,0148
0149,MT PIS POLARIS,MT PIS POLARIS_[0149],,,0149
0150,MT PALERMO,MT PALERMO_[0150],,,0150
0151,MT JEWEL FAITH,MT JEWEL FAITH_[0151],,,0151
0152,MTKR NTC LAWIN,MTKR NTC LAWIN_[0152],,,0152
